'Crate name', 'Successful filtering', 'Duration (s)', 'Exit status', 'Start', 'End'
'233_tokio-tcp', true, 3, 0, '2018-11-14 15:46:21', '2018-11-14 15:46:24'
'234_png', true, 10, 0, '2018-11-14 15:46:24', '2018-11-14 15:46:34'
'236_typenum', true, 3, 0, '2018-11-14 15:46:34', '2018-11-14 15:46:37'
'238_winapi-i686-pc-windows-gnu', true, 1, 0, '2018-11-14 15:46:37', '2018-11-14 15:46:38'
'242_quasi_codegen', true, 308, 0, '2018-11-14 15:46:38', '2018-11-14 15:51:46'
'243_tokio-tls', true, 0, 0, '2018-11-14 15:51:46', '2018-11-14 15:51:46'
'244_bit-vec', true, 2, 0, '2018-11-14 15:51:46', '2018-11-14 15:51:48'
'246_home', true, 1, 0, '2018-11-14 15:51:48', '2018-11-14 15:51:49'
'248_ring', true, 17, 0, '2018-11-14 15:51:49', '2018-11-14 15:52:06'
'249_libloading', true, 2, 0, '2018-11-14 15:52:06', '2018-11-14 15:52:08'
'250_redox_termios', true, 1, 0, '2018-11-14 15:52:08', '2018-11-14 15:52:09'
'251_shared_library', true, 1, 0, '2018-11-14 15:52:09', '2018-11-14 15:52:10'
'252_rls-data', true, 14, 0, '2018-11-14 15:52:10', '2018-11-14 15:52:24'
'253_inflate', true, 6, 0, '2018-11-14 15:52:24', '2018-11-14 15:52:30'
'254_schannel', true, 0, 0, '2018-11-14 15:52:30', '2018-11-14 15:52:31'
'257_build_const', true, 1, 0, '2018-11-14 15:52:31', '2018-11-14 15:52:32'
'258_gif', true, 7, 0, '2018-11-14 15:52:32', '2018-11-14 15:52:39'
'261_tendril', true, 3, 0, '2018-11-14 15:52:39', '2018-11-14 15:52:42'
'262_mac', true, 0, 0, '2018-11-14 15:52:42', '2018-11-14 15:52:42'
'263_utf-8', true, 1, 0, '2018-11-14 15:52:42', '2018-11-14 15:52:43'
'264_futf', true, 2, 0, '2018-11-14 15:52:43', '2018-11-14 15:52:45'
'265_modifier', true, 1, 0, '2018-11-14 15:52:45', '2018-11-14 15:52:46'
'266_plugin', true, 0, 0, '2018-11-14 15:52:46', '2018-11-14 15:52:46'
'267_pnacl-build-helper', true, 17, 0, '2018-11-14 15:52:46', '2018-11-14 15:53:03'
