'Crate name', 'Successful verification', 'Whitelist items', 'Verified items', 'Successful items', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'472_xmltree', true, 0, 0, 0, 26, 0, '2018-11-15 07:35:33', '2018-11-15 07:35:59', 0.0, 0.0, 0.0, 1.8
'473_hostname', true, 0, 0, 0, 10, 0, '2018-11-15 07:35:59', '2018-11-15 07:36:09', 0.0, 0.0, 0.0, 1.8
'474_parity-wasm', true, 27, 27, 27, 116, 0, '2018-11-15 07:36:09', '2018-11-15 07:38:06', 0.4, 0.0, 0.17, 4.27
'475_os_pipe', true, 0, 0, 0, 104, 0, '2018-11-15 07:38:06', '2018-11-15 07:39:50', 0.0, 0.0, 0.0, 1.9
'476_number_prefix', true, 0, 0, 0, 19, 0, '2018-11-15 07:39:50', '2018-11-15 07:40:09', 0.0, 0.0, 0.0, 1.6
'477_minifier', true, 0, 0, 0, 22, 0, '2018-11-15 07:40:09', '2018-11-15 07:40:31', 0.0, 0.0, 0.0, 1.10
'478_sequence_trie', true, 0, 0, 0, 4, 0, '2018-11-15 07:40:31', '2018-11-15 07:40:35', 0.0, 0.0, 0.0, 1.10
'479_postgres', true, 5, 5, 5, 366, 0, '2018-11-15 07:40:35', '2018-11-15 07:46:41', 0.1, 0.0, 0.12, 2.61
'483_duct', true, 0, 0, 0, 342, 0, '2018-11-15 07:46:41', '2018-11-15 07:52:23', 0.0, 0.0, 0.0, 1.8
'486_wayland-protocols', true, 0, 0, 0, 194, 0, '2018-11-15 07:52:23', '2018-11-15 07:55:37', 0.0, 0.0, 0.0, 1.15
'487_ctrlc', true, 0, 0, 0, 94, 0, '2018-11-15 07:55:37', '2018-11-15 07:57:11', 0.0, 0.0, 0.0, 1.9
'489_shared_child', true, 0, 0, 0, 216, 0, '2018-11-15 07:57:11', '2018-11-15 08:00:47', 0.0, 0.0, 0.0, 1.9
'490_csv-core', true, 4, 4, 4, 29, 0, '2018-11-15 08:00:47', '2018-11-15 08:01:16', 0.1, 0.0, 0.0, 1.51
'491_sdl2-sys', true, 0, 0, 0, 57, 0, '2018-11-15 08:01:16', '2018-11-15 08:02:15', 0.0, 0.0, 0.0, 1.9
'492_matrixmultiply', true, 6, 6, 6, 13, 0, '2018-11-15 08:02:15', '2018-11-15 08:02:28', 0.0, 0.0, 0.7, 3.41
'494_peeking_take_while', true, 0, 0, 0, 4, 0, '2018-11-15 08:02:28', '2018-11-15 08:02:32', 0.0, 0.0, 0.0, 1.11
'495_new_debug_unreachable', true, 0, 0, 0, 8, 0, '2018-11-15 08:02:32', '2018-11-15 08:02:40', 0.0, 0.0, 0.0, 1.8
'496_piston-float', true, 0, 0, 0, 3, 0, '2018-11-15 08:02:40', '2018-11-15 08:02:43', 0.0, 0.0, 0.0, 1.15
'499_chalk-macros', true, 0, 0, 0, 7, 0, '2018-11-15 08:02:43', '2018-11-15 08:02:50', 0.0, 0.0, 0.0, 1.10
