"Crate name","Successful verification","Whitelist items","Verified items","Successful items","Duration (s)","Exit status","Start","End","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
"102_scoped-tls",true,0,0,0,4,0,"2018-11-15 23:42:18","2018-11-15 23:42:22",0.0,0.0,0.0,1.41
"103_crossbeam-epoch",true,0,0,0,25,0,"2018-11-15 23:42:22","2018-11-15 23:42:47",0.1,0.0,0.0,1.38
"104_num-bigint",true,3,3,3,46,0,"2018-11-15 23:42:47","2018-11-15 23:43:33",0.2,0.0,0.3,2.8
"105_cmake",true,0,0,0,23,0,"2018-11-15 23:43:33","2018-11-15 23:43:56",0.0,0.0,0.0,1.39
"106_foreign-types",true,0,0,0,7,0,"2018-11-15 23:43:56","2018-11-15 23:44:03",0.0,0.0,0.0,1.41
"107_filetime",true,2,2,2,13,0,"2018-11-15 23:44:03","2018-11-15 23:44:16",0.0,0.0,0.1,1.90
"108_phf_shared",true,1,1,1,12,0,"2018-11-15 23:44:16","2018-11-15 23:44:28",0.0,0.0,0.3,2.12
"109_phf",true,0,0,0,15,0,"2018-11-15 23:44:28","2018-11-15 23:44:43",0.0,0.0,0.0,1.39
"110_nix",true,523,523,523,106,0,"2018-11-15 23:44:43","2018-11-15 23:46:29",0.11,0.1,3.17,16.66
"111_num-complex",true,0,0,0,29,0,"2018-11-15 23:46:29","2018-11-15 23:46:59",0.1,0.0,0.0,1.41
"112_iovec",true,0,0,0,12,0,"2018-11-15 23:46:59","2018-11-15 23:47:11",0.0,0.0,0.0,1.45
"113_termcolor",true,6,6,6,11,0,"2018-11-15 23:47:11","2018-11-15 23:47:22",0.0,0.0,0.25,3.75
"114_phf_generator",true,0,0,0,38,0,"2018-11-15 23:47:22","2018-11-15 23:48:00",0.0,0.0,0.0,1.42
"115_miow",true,0,0,0,210,0,"2018-11-15 23:48:00","2018-11-15 23:51:30",0.1,0.0,0.0,1.38
"117_phf_codegen",true,1,1,1,44,0,"2018-11-15 23:51:30","2018-11-15 23:52:14",0.0,0.0,0.0,1.58
"118_safemem",true,0,0,0,4,0,"2018-11-15 23:52:14","2018-11-15 23:52:18",0.0,0.0,0.0,1.35
"119_cookie",true,1,1,1,28,0,"2018-11-15 23:52:18","2018-11-15 23:52:46",0.0,0.0,0.0,1.98
"120_crossbeam-deque",true,0,0,0,30,0,"2018-11-15 23:52:46","2018-11-15 23:53:16",0.0,0.0,0.0,1.44
"122_same-file",true,1,1,1,5,0,"2018-11-15 23:53:16","2018-11-15 23:53:22",0.0,0.0,0.5,2.16
"124_ucd-util",true,0,0,0,5,0,"2018-11-15 23:53:22","2018-11-15 23:53:27",0.0,0.0,0.0,1.40
"125_siphasher",true,12,12,12,9,0,"2018-11-15 23:53:27","2018-11-15 23:53:36",0.0,0.0,0.14,3.31
"126_curl-sys",true,0,0,0,37,0,"2018-11-15 23:53:36","2018-11-15 23:54:13",0.0,0.0,0.0,1.44
"127_xml-rs",true,0,0,0,24,0,"2018-11-15 23:54:13","2018-11-15 23:54:37",0.0,0.0,0.0,1.41
"128_rayon-core",true,1,1,1,43,0,"2018-11-15 23:54:37","2018-11-15 23:55:20",0.1,0.0,0.0,1.53
"129_pulldown-cmark",true,0,0,0,42,0,"2018-11-15 23:55:20","2018-11-15 23:56:02",0.0,0.0,0.0,1.42
"130_linked-hash-map",true,0,0,0,5,0,"2018-11-15 23:56:02","2018-11-15 23:56:07",0.0,0.0,0.0,1.42
"131_tokio-io",true,11,11,11,44,0,"2018-11-15 23:56:07","2018-11-15 23:56:51",0.1,0.0,0.44,3.77
"132_curl",true,8,8,8,56,0,"2018-11-15 23:56:51","2018-11-15 23:57:47",0.2,0.0,0.3,2.40
"133_parking_lot",true,2,2,2,62,0,"2018-11-15 23:57:47","2018-11-15 23:58:49",0.1,0.0,0.0,1.62
"134_hex",true,0,0,0,16,0,"2018-11-15 23:58:49","2018-11-15 23:59:05",0.0,0.0,0.0,1.45
"135_term_size",true,0,0,0,12,0,"2018-11-15 23:59:05","2018-11-15 23:59:17",0.0,0.0,0.0,1.45
"137_memoffset",true,0,0,0,3,0,"2018-11-15 23:59:17","2018-11-15 23:59:20",0.0,0.0,0.0,1.39
"138_owning_ref",true,0,0,0,8,0,"2018-11-15 23:59:20","2018-11-15 23:59:29",0.0,0.0,0.0,1.47
"140_parking_lot_core",true,4,4,4,48,0,"2018-11-15 23:59:29","2018-11-16 00:00:17",0.0,0.0,0.1,1.87
"141_stable_deref_trait",true,0,0,0,4,0,"2018-11-16 00:00:17","2018-11-16 00:00:21",0.0,0.0,0.0,1.42
"143_tempfile",true,0,0,0,40,0,"2018-11-16 00:00:21","2018-11-16 00:01:01",0.0,0.0,0.0,1.37
"144_fs2",true,0,0,0,12,0,"2018-11-16 00:01:01","2018-11-16 00:01:13",0.0,0.0,0.0,1.52
"145_libgit2-sys",true,2,2,2,45,0,"2018-11-16 00:01:13","2018-11-16 00:01:58",0.1,0.0,0.0,1.60
"146_yaml-rust",true,10,10,10,25,0,"2018-11-16 00:01:58","2018-11-16 00:02:23",0.1,0.0,0.15,3.99
"147_git2",true,134,134,134,229,0,"2018-11-16 00:02:23","2018-11-16 00:06:13",0.7,0.0,1.27,8.48
"148_nom",true,12,12,12,40,0,"2018-11-16 00:06:13","2018-11-16 00:06:53",0.6,0.0,0.27,4.54
"149_openssl-probe",true,0,0,0,4,0,"2018-11-16 00:06:53","2018-11-16 00:06:57",0.0,0.0,0.0,1.40
"150_remove_dir_all",true,0,0,0,4,0,"2018-11-16 00:06:57","2018-11-16 00:07:01",0.0,0.0,0.0,1.43
"151_tar",true,8,8,8,33,0,"2018-11-16 00:07:01","2018-11-16 00:07:34",0.1,0.0,0.2,1.93
"152_humantime",true,9,9,9,15,0,"2018-11-16 00:07:34","2018-11-16 00:07:49",0.0,0.0,0.11,4.4
"154_redox_syscall",true,4,4,4,8,0,"2018-11-16 00:07:49","2018-11-16 00:07:57",0.1,0.0,0.3,2.10
"155_libssh2-sys",true,1,1,1,37,0,"2018-11-16 00:07:57","2018-11-16 00:08:34",0.0,0.0,0.0,1.60
"156_foreign-types-shared",true,0,0,0,4,0,"2018-11-16 00:08:34","2018-11-16 00:08:38",0.0,0.0,0.0,1.40
"157_futures-cpupool",true,0,0,0,31,0,"2018-11-16 00:08:38","2018-11-16 00:09:09",0.0,0.0,0.0,1.46
"158_enum_primitive",true,0,0,0,25,0,"2018-11-16 00:09:09","2018-11-16 00:09:34",0.0,0.0,0.0,1.41
"162_hpack",true,0,0,0,24,0,"2018-11-16 00:09:34","2018-11-16 00:09:58",0.1,0.0,0.0,1.41
"163_rust-crypto",true,13,13,13,145,0,"2018-11-16 00:09:58","2018-11-16 00:12:23",0.15,0.0,0.73,7.87
"164_serde_codegen_internals",true,0,0,0,50,0,"2018-11-16 00:12:23","2018-11-16 00:13:13",0.0,0.0,0.0,1.38
"165_core-foundation",true,1,1,1,17,0,"2018-11-16 00:13:13","2018-11-16 00:13:30",0.1,0.0,0.0,1.58
"166_core-foundation-sys",true,1,1,1,8,0,"2018-11-16 00:13:30","2018-11-16 00:13:38",0.0,0.0,0.0,1.84
"167_socket2",true,27,27,27,16,0,"2018-11-16 00:13:38","2018-11-16 00:13:55",0.1,0.0,0.6,2.48
"168_adler32",true,1,1,1,4,0,"2018-11-16 00:13:55","2018-11-16 00:13:59",0.0,0.0,0.0,1.60
"170_native-tls",true,0,0,0,84,0,"2018-11-16 00:13:59","2018-11-16 00:15:23",0.0,0.0,0.0,1.49
"173_pest",true,0,0,0,71,0,"2018-11-16 00:15:23","2018-11-16 00:16:34",0.1,0.0,0.0,1.42
"174_rand_core",true,0,0,0,5,0,"2018-11-16 00:16:34","2018-11-16 00:16:39",0.0,0.0,0.0,1.42
