"Crate name","Number of dependencies","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
'436_libsqlite3-sys',3,0,0,0,4.28
'437_tiny-keccak',3,0,0,0,4.40
'438_cloudabi',2,0,0,1.21,9.64
'439_slog-term',16,1.8,0,0,50.53
'441_ws',22,3.47,0,.50,83.06
'443_string',1,0,0,0,1.39
'444_tokio-current-thread',3,.5,0,.2,4.60
'445_procedural-masquerade',1,0,0,0,1.44
'446_r2d2',5,0,0,0,8.50
'447_stb_truetype',2,.1,0,0,2.83
'448_cexpr',7,.7,0,0,12.52
'450_tokio-signal',35,3.48,0,0,137.37
'454_rustc-hash',2,.1,0,.3,3.16
'455_c_vec',1,0,0,0,1.37
'456_rustc-rayon-core',14,.8,0,0,52.88
'458_gfx_gl',9,.4,0,.1,18.68
'459_rmp',5,.2,0,0,7.71
'462_gl',9,.3,0,.1,18.62
'465_dwmapi-sys',4,.24,0,0,6.70
'472_xmltree',3,.2,0,0,4.40
'473_hostname',2,0,0,0,2.81
'474_parity-wasm',2,.5,0,.16,5.59
'475_os_pipe',10,.11,.1,0,29.31
'476_number_prefix',3,.1,0,0,4.23
'477_minifier',3,.1,0,0,4.32
'478_sequence_trie',1,0,0,0,1.50
'479_postgres',37,3.32,0,.12,147.76
'483_duct',20,1.01,.1,0,97.60
'486_wayland-protocols',16,.72,.1,0,39.08
'487_ctrlc',7,.17,.1,0,21.04
'489_shared_child',4,.8,0,0,5.62
'490_csv-core',6,.1,0,0,11.57
'491_sdl2-sys',3,0,0,0,4.24
'492_matrixmultiply',3,0,0,.6,8.12
'494_peeking_take_while',1,0,0,0,1.39
'495_new_debug_unreachable',3,0,0,0,4.32
'496_piston-float',1,0,0,0,1.44
'499_chalk-macros',2,0,0,0,2.90
